Year,Month,Day,Concentration,DayOfWeek,Weekend
2008,1,1,7.583333333333333,2,0
2008,1,2,40.22727272727273,3,0
2008,1,3,33.958333333333336,4,0
2008,1,4,27.91304347826087,5,0
2008,1,5,63.30434782608695,6,1
2008,1,6,52.083333333333336,0,1
2008,1,7,64.13636363636364,1,0
2008,1,8,50.583333333333336,2,0
2008,1,9,50.25,3,0
2008,1,10,49.27272727272727,4,0
2008,1,11,49.625,5,0
2008,1,12,52.25,6,1
2008,1,13,54.45454545454545,0,1
2008,1,14,46.458333333333336,1,0
2008,1,15,55.875,2,0
2008,1,16,57.54545454545455,3,0
2008,1,17,44.0,4,0
2008,1,18,55.125,5,0
2008,1,19,57.90909090909091,6,1
2008,1,20,56.416666666666664,0,1
2008,1,21,58.333333333333336,1,0
2008,1,22,46.5,2,0
2008,1,23,39.375,3,0
2008,1,24,37.458333333333336,4,0
2008,1,25,31.272727272727273,5,0
2008,1,26,48.708333333333336,6,1
2008,1,27,46.583333333333336,0,1
2008,1,28,26.227272727272727,1,0
2008,1,29,27.666666666666668,2,0
2008,1,30,18.791666666666668,3,0
2008,1,31,47.68181818181818,4,0
2008,2,1,60.25,5,0
2008,2,2,51.75,6,1
2008,2,3,55.54545454545455,0,1
2008,2,4,55.75,1,0
2008,2,5,53.75,2,0
2008,2,6,48.63636363636363,3,0
2008,2,7,20.166666666666668,4,0
2008,2,8,34.416666666666664,5,0
2008,2,9,27.38888888888889,6,1
2008,2,10,33.5,0,1
2008,2,11,6.833333333333333,1,0
2008,2,12,10.64423076923077,2,0
2008,2,13,14.455128205128204,3,0
2008,2,14,18.266025641025642,4,0
2008,2,15,22.076923076923077,5,0
2008,2,16,27.083333333333332,6,1
2008,2,17,27.666666666666668,0,1
2008,2,18,13.818181818181818,1,0
2008,2,19,5.083333333333333,2,0
2008,2,20,16.5,3,0
2008,2,21,39.5,4,0
2008,2,22,54.083333333333336,5,0
2008,2,23,54.75,6,1
2008,2,24,57.27272727272727,0,1
2008,2,25,57.125,1,0
2008,2,26,60.541666666666664,2,0
2008,2,27,46.59090909090909,3,0
2008,2,28,27.25,4,0
2008,2,29,35.458333333333336,5,0
2008,3,1,73.22727272727273,6,1
2008,3,2,67.375,0,1
2008,3,3,66.5,1,0
2008,3,4,61.55,2,0
2008,3,5,42.375,3,0
2008,3,6,39.791666666666664,4,0
2008,3,7,47.0,5,0
2008,3,8,49.791666666666664,6,1
2008,3,9,67.45454545454545,0,1
2008,3,10,75.73913043478261,1,0
2008,3,11,72.45833333333333,2,0
2008,3,12,74.82608695652173,3,0
2008,3,13,62.72222222222222,4,0
2008,3,14,43.90909090909091,5,0
2008,3,15,40.95652173913044,6,1
2008,3,16,67.95833333333333,0,1
2008,3,17,73.54166666666667,1,0
2008,3,18,59.0,2,0
2008,3,19,64.79166666666667,3,0
2008,3,20,63.833333333333336,4,0
2008,3,21,73.34782608695652,5,0
2008,3,22,67.25,6,1
2008,3,23,74.875,0,1
2008,3,24,72.17391304347827,1,0
